Country,Order Date,Total Revenue
United Arab Emirates,28/03/1996,1888266.8
Seychelles ,21/01/1983,358631.24
Chad,05/03/1967,3741994.8
Saint Lucia,27/04/1955,1920620.9
Monaco,15/08/1992,321142.24
Libya,17/12/1956,279480.5
Tuvalu,01/03/1995,63742.56
Morocco,25/04/1976,223584.4
Iraq,26/03/1969,337853.58
El Salvador,21/11/1973,1844511.9
South Korea,16/11/1982,4400225.97
Greenland,22/04/1993,658993.02
Zambia,02/09/1966,1587649.98
Norway,16/05/1995,5815956.51
Bosnia and Herzegovina,02/10/1974,556611.84
Cambodia,19/11/1958,164604.05
India,28/02/1968,1125100.18
Bahrain,03/09/1953,225241.5
Uzbekistan,29/07/1993,429817.86
Laos,31/01/1964,4867794.75
Kiribati,01/11/1963,323988.18
Afghanistan,23/05/1972,118780.26
Samoa ,13/01/1972,782646.48
Myanmar,21/10/2000,1101977.23
Kazakhstan,23/12/1955,234952
Mali,29/09/1957,504084.32
Libya,26/12/1970,86190.54
Slovakia,28/08/1999,142501.12
Ghana,07/04/1987,301175.68
United States of America,21/08/1965,602374.6
Turkey,07/08/1952,1463761.2
Botswana,25/05/1980,83179.85
Slovakia,10/02/1962,3895310.37
Kenya,20/09/1963,3374276.22
Ukraine,09/11/1959,1312745.26
North Korea,28/10/1970,3505062.12
Panama,07/12/1951,1062089.64
Uganda,14/05/1983,370745.6
Latvia,29/09/1993,3832932.4
China,17/02/1989,513346.13
Grenada,21/08/1984,9815.16
Denmark,12/08/1974,5061204.12
Bosnia and Herzegovina,21/10/1983,482915.7
Bangladesh,22/04/1954,641441.85
Malawi,06/03/1993,767036.32
Romania,01/09/1967,2729214.68
Saint Lucia,08/12/1969,574480.17
Kosovo,30/11/1998,3380867.6
Saint Kitts and Nevis ,29/09/1999,16478.64
Comoros,18/10/1975,241805.2
Namibia,04/03/1959,463409.1
Grenada,19/06/1964,17129.88
United Kingdom,22/11/1999,615246.4
San Marino,28/11/1993,2581544.91
United Arab Emirates,29/12/1997,905491.4
India,17/06/1989,5752468.16
Sao Tome and Principe,13/11/1990,1357809.42
Iran,09/07/1952,201709.64
Finland,26/09/1958,79650.21
Myanmar,04/06/1998,367290.08
Indonesia,18/02/1953,48777.24
Kuwait,07/03/1973,6155888.13
Serbia,21/06/1984,2205648.27
Iraq,31/08/1977,940924.16
Serbia,21/07/1980,4340521.6
Palau,07/12/1987,22289.37
Myanmar,16/09/1997,2850171.55
Republic of the Congo,01/09/1951,5386256.2
El Salvador,27/04/1998,1268244.96
South Africa,17/01/1969,61447.38
Barbados,28/03/1996,998770.98
Philippines,25/01/1964,409540.95
Lesotho,19/02/1966,2401397.88
Denmark,14/02/1964,601369.34
Cyprus,11/01/1965,437582.42
Equatorial Guinea,19/11/1974,921558.24
Portugal,30/08/1973,1137270.92
Ethiopia,18/02/1951,12028.86
The Gambia,18/08/1984,505908.7
Indonesia,26/01/1987,427978.68
Cambodia,13/02/1967,710478.89
Vatican City,20/09/1970,4167007.53
Austria,14/10/1953,2876234.08
Liechtenstein,01/08/1985,1064855.82
Sierra Leone,22/08/2000,2083292.82
Maldives,12/04/1988,1464571.29
Bulgaria,19/05/1968,237677.05
Somalia,18/01/1954,4134532.29
Macedonia,25/03/1981,13341.9
Malawi,25/01/1982,1633920.15
Somalia,16/11/1984,2416464.32
Nauru,17/01/1981,2615718
Malaysia,26/03/1952,716041.7
Taiwan,31/12/1953,890158.68
San Marino,25/04/1999,1118802.3
New Zealand,18/07/1989,806196.8
Somalia,06/07/1984,2799828.8
Lithuania,16/10/1965,826266.08
Moldova ,02/10/1960,3769854.69
Saint Vincent and the Grenadines,28/05/1976,5743112.38
Czech Republic,07/06/1960,602132.8
Philippines,19/12/1975,638904.2
Spain,14/02/1972,1522748.4
Montenegro,25/06/1964,770346.4
Equatorial Guinea,30/08/1959,1560526.64
El Salvador,16/08/1954,631445.98
Philippines,04/08/1961,271670.52
Equatorial Guinea,13/05/1970,316111.9
Sudan,06/11/1968,543215.56
Belarus,08/10/1971,2840585.37
Panama,09/10/1997,53760.85
Marshall Islands,27/07/1964,3762106
Azerbaijan,09/03/1979,334396.8
Guatemala,27/11/1990,258128
Switzerland,27/03/1978,2226041.6
Romania,09/03/1996,1269628.8
Solomon Islands,19/05/1981,11391.03
Marshall Islands,17/04/1995,4004314.8
Thailand,29/06/1953,356626.16
Comoros,07/03/1955,1001964.7
Gabon,27/01/1979,462257.9
Central African Republic,25/11/1992,1351313.67
Togo,31/08/1991,689726.62
Myanmar,13/08/1957,2019768.3
South Sudan,27/08/1992,3285995.2
Belarus,06/07/1996,593238.8
Saudi Arabia,07/02/1983,835276.16
Vanuatu,14/01/1994,1993353.81
Guinea,15/01/1968,5640129.81
Tajikistan,24/10/1982,722829.8
Canada,23/04/1976,476815.7
Sao Tome and Principe,17/05/1992,6452839.89
Mozambique,01/11/1965,402850.5
El Salvador,03/06/1983,44476.96
Lebanon,13/08/1967,756738.07
North Korea,04/06/1970,2481110
Poland,13/12/1956,353375.28
Thailand,26/03/1971,1367282.5
Saint Lucia,29/06/1996,335708.75
Bangladesh,14/11/1996,269136.4
Laos,24/10/1999,2299722.39
Sri Lanka,07/12/1961,870111
Andorra,07/08/1974,783449.73
Taiwan,02/12/1991,247309.4
Laos,03/08/1988,659679.9
Nauru,19/04/1953,779964.8
Slovenia,26/01/1967,728704.68
Madagascar,21/04/1991,1480362.54
Seychelles ,24/01/1992,137016.84
Malaysia,19/05/1958,748677.28
Comoros,26/02/1955,2322214.86
Norway,21/10/1968,2718150.54
Sao Tome and Principe,12/03/1974,181970.75
Seychelles ,14/11/1985,2073202.4
Denmark,06/11/1955,10440.27
Serbia,30/07/1961,2748106.2
Norway,29/06/1967,3092875.59
Equatorial Guinea,06/09/1960,63013.83
The Gambia,14/06/1966,64255.71
Bosnia and Herzegovina,01/10/1967,2134341.51
Kyrgyzstan,04/12/1978,317867.55
Singapore,16/04/1973,108862.8
Liechtenstein,25/07/1953,4131913.41
Croatia,08/09/1959,511836.4
Myanmar,06/05/1953,1117089.06
Germany,04/10/1952,79211.7
Benin,16/09/1956,2886258.13
Australia,14/07/1984,17509.05
Kiribati,24/07/1991,1097704
Australia,23/10/1997,38197.25
New Zealand,06/01/1996,2787849.12
Canada,17/06/1967,3650759.01
China,21/01/1957,649394.9
Israel,06/09/1983,1057678.23
Burundi,14/12/1962,1288249.72
Antigua and Barbuda ,08/02/1989,1694448.42
Eritrea,01/11/1956,1394123.46
Barbados,11/08/1976,3895452
Tunisia ,24/03/1959,2064729.66
Latvia,16/03/1988,1093209.76
Sweden,11/10/1976,4916635.5
Romania,08/02/1986,1095146.8
Kyrgyzstan,26/02/1965,663232.4
Poland,26/10/1973,2845493.66
Republic of the Congo,29/03/1953,1622012
Belarus,26/05/1992,577258.99
Vatican City,30/03/1958,1494334.38
Afghanistan,21/02/1974,768425.46
Lesotho,12/02/1993,1280558.8
Norway,08/04/1987,1440202.62
North Korea,05/01/1977,958660.14
South Africa,01/04/1973,5104835.19
Taiwan,03/10/1976,56716.32
France,10/08/1964,1597260.5
Indonesia,13/12/1995,47125.83
Kazakhstan,26/01/1985,752120.92
Taiwan,19/08/1961,369025.8
Kosovo,21/10/1979,3102157.17
Togo,30/10/1969,1317244.8
Kyrgyzstan,12/08/1974,2465525.16
Israel,03/11/1980,1344748.65
Solomon Islands,05/08/1965,32804.28
Indonesia,28/03/1997,1251625.62
Denmark,08/04/1985,56315.88
Eritrea,04/06/1961,315305.25
Canada,04/06/1998,1046510.82
Senegal,05/09/1994,53042.77
United Arab Emirates,18/04/1983,515904.44
Iraq,25/05/1967,129235.26
Netherlands,29/12/1981,323419.2
Guinea,02/07/1977,727149.12
Turkey,30/01/1987,1103374.8
Zimbabwe,03/09/1953,1537980.98
Thailand,03/02/1964,42712.74
Iran,31/07/1997,2294862.8
Cote d'Ivoire,11/01/1998,418784.52
France,13/01/1989,1023407.2
Tonga,17/09/1956,25175.7
Serbia,18/01/1958,359357.9
Maldives,09/04/1993,438481.45
Swaziland,06/10/1994,1883020.4
Moldova ,09/12/1964,2269183.92
Singapore,15/12/1966,975674.2
Comoros,12/02/1969,287980
Kiribati,03/05/1957,5694
Senegal,03/06/1996,662564.64
Montenegro,01/04/1996,1995495.7
Japan,07/03/1951,3603362.49
Uganda,06/12/1994,925552.4
Burundi,26/11/1951,2952386.22
Tanzania,26/08/1964,1191525.41
Portugal,06/10/1984,99645
Lebanon,15/02/1988,1154182.7
Bulgaria,08/02/1954,4564330.89
South Sudan,05/01/1955,246579.41
Kosovo,12/11/1997,603984.7
Pakistan,09/09/1971,1509725.92
Vietnam,20/09/1953,940255.89
Madagascar,13/10/1979,1793086.9
Qatar,28/07/1967,1062529.44
Italy,19/06/1951,1715126.6
Dominica,01/03/1953,449841.92
North Korea,29/10/1983,39130.02
Italy,22/08/1969,360674.49
Myanmar,28/09/1959,3458232.33
South Korea,16/08/1988,43048.62
South Korea,19/01/1998,2009040.18
Yemen,18/05/1967,4409342.91
Eritrea,03/01/1999,65547.46
Federated States of Micronesia,13/06/1981,192077.6
Morocco,25/10/1978,271983.4
Albania,26/02/1997,325066.6
Gabon,19/10/1996,954673.86
Botswana,12/05/1984,1391529.6
East Timor,04/03/1952,264239.04
Mauritania,19/08/1976,469293.66
Vatican City,08/01/1951,847638.12
Panama,29/08/1986,47965.53
Guatemala,29/06/1970,1231.56
Belgium,21/09/1957,1940605.8
Romania,22/04/1967,3468779.58
Somalia,14/08/1966,1143895.5
Trinidad and Tobago,08/03/1998,2797378.22
Turkmenistan,16/06/1998,1879480.9
Solomon Islands,09/11/1953,1015952.3
Togo,08/04/1981,197658.98
Serbia,04/03/1974,2034990.1
Democratic Republic of the Congo,02/06/1985,1040892
Russia,18/10/1978,627766.44
Cambodia,06/05/1952,855592.92
Spain,24/07/1990,391520.28
Romania,29/06/1986,6319161.12
Germany,30/07/1969,1076582.97
Vanuatu,17/03/1980,235968.85
Philippines,15/04/1964,1546041.2
Kenya,31/01/1989,1083153.04
Indonesia,19/07/1991,559829.04
Syria,14/07/1993,1386425.68
Central African Republic,20/06/1969,11519.2
Laos,22/03/1965,2348320.72
Uganda,26/06/1977,876425.6
Egypt,19/03/1977,952156.64
Chad,16/03/1996,1131144.3
Djibouti,06/04/1969,1470260.88
Italy,05/06/1970,1125018.96
Iraq,08/04/1979,10788.36
Switzerland,04/08/1987,85444.14
Israel,05/09/2000,132134.28
South Sudan,08/12/1962,1371196.2
Burkina Faso,08/02/1956,408731.73
Greenland,31/03/1958,693272.32
Namibia,17/01/1982,3585914.4
Liberia,30/05/1955,47217.6
Laos,08/07/1968,2203576.96
Israel,14/06/1952,112503.95
Laos,03/08/1960,1430849.2
Vatican City,29/11/1995,30606.87
The Gambia,22/09/1976,1303726.6
Seychelles ,11/01/1973,121044.95
Bulgaria,23/07/1993,1631247.07
Slovakia,24/04/1995,785211.2
Azerbaijan,20/07/1955,705756.7
Papua New Guinea,09/10/1990,104200.2
Papua New Guinea,27/05/1958,1535978.2
Nepal,27/10/1975,54350.45
Botswana,06/02/1957,2283932.8
Zimbabwe,03/05/1986,61755.27
Montenegro,16/06/1978,998673.5
Equatorial Guinea,01/03/1972,300430.02
Chad,25/08/1955,2965464.81
Sri Lanka,23/12/1985,288976.96
Uzbekistan,27/08/1969,370976.48
Niger,09/02/1962,445944
Angola,28/03/1968,2707731.18
New Zealand,16/04/1968,442140.72
Portugal,07/05/1998,74108.19
Lesotho,25/01/1996,148471.05
Nauru,03/12/1968,395972.5
Sierra Leone,18/09/1982,79668.55
Mauritius ,18/10/1996,321236.5
Vanuatu,11/10/1969,742577
Solomon Islands,16/12/1952,3770379.34
Saudi Arabia,19/12/1956,3517718.82
Honduras,27/07/1991,459413.12
South Sudan,01/04/1983,1599523.2
Azerbaijan,27/07/1951,404401.41
San Marino,02/10/1964,4126717.77
Yemen,31/10/1993,847734.48
Niger,28/01/1984,239197.36
Sudan,30/12/1950,1452818.98
Bangladesh,07/10/1992,252727.2
Egypt,23/09/1958,3997778.19
Albania,21/04/1973,3675977.6
Barbados,02/07/1974,2368912.35
Lebanon,03/05/1970,1171934.42
Equatorial Guinea,19/07/1955,138348.48
El Salvador,21/01/2000,601149.28
Haiti,03/10/1965,2734686
Spain,30/11/1978,1004409.81
Greece,07/03/1957,1285213.6
Morocco,12/05/1964,357156.15
Malta,02/11/1999,1435472.64
Austria,02/11/1961,74537.37
Romania,29/07/1986,2699674.11
Vatican City,24/11/1956,465010
Macedonia,20/03/1984,58743.3
Solomon Islands,06/09/1988,22177.41
Norway,12/02/1989,1083195.86
Federated States of Micronesia,26/09/1966,1570108.1
Tuvalu,16/02/1981,693270
Tonga,20/06/1979,2547949.68
Democratic Republic of the Congo,13/10/1992,527316.48
Sudan,26/09/1996,4126066.56
Antigua and Barbuda ,18/12/1959,577340.72
Central African Republic,20/12/1981,499615.49
Burkina Faso,10/05/1962,203231.6
Equatorial Guinea,18/10/1996,188569.44
Switzerland,26/05/1999,2266103.57
Greenland,07/09/1958,937455.1
Equatorial Guinea,05/05/1957,3215023.77
Zambia,17/06/1987,361047.05
Albania,22/03/1973,2244421.76
Uganda,02/06/1982,802652.6
Belarus,14/01/1998,157763.04
Mauritius ,10/06/1970,338355.78
Saudi Arabia,18/12/1974,5733756.6
Lebanon,28/04/1992,2246464
Guinea,12/09/1984,687449.4
Seychelles ,04/11/1962,2674352.4
Mauritius ,18/10/1979,382826.6
Rwanda,19/06/1956,334002.08
The Bahamas,03/02/1990,1285028.76
Norway,07/12/1955,1366050.02
Luxembourg,29/06/1955,655814.32
Qatar,04/01/1962,68518.56
Laos,05/02/1953,494033.19
Tonga,09/04/1976,1113531.36
Montenegro,06/08/1974,1520945.8
Guinea,05/05/1960,1461721.28
Comoros,20/09/1998,1063014
South Sudan,29/09/1955,3340103.13
Belgium,23/02/1954,5115905.76
Sierra Leone,26/02/1956,626099.84
Sudan,02/08/1983,389404.47
Canada,12/09/1987,996410.8
Kosovo,19/12/1969,86470.44
Fiji,06/10/1958,458794.05
Bangladesh,24/12/1997,79790.16
Germany,17/01/1984,69271.32
Turkmenistan,15/03/1969,758621.76
Greece,01/07/1973,1051052.94
Romania,17/12/1988,557328
Gabon,16/02/1952,26669.2
East Timor,10/03/1959,2706705.2
Costa Rica,13/04/1960,1071902.7
Cameroon,08/01/1993,905564.68
Turkmenistan,28/09/1953,1846774.6
Iran,22/12/1992,1555064.29
Papua New Guinea,16/03/1993,273976.3
Laos,07/03/1974,1275340
Tanzania,19/08/1961,642029.2
Austria,20/01/1954,279291.18
New Zealand,21/06/1953,1327226.9
Brunei,14/01/1996,212294.68
Poland,01/04/1960,1528361.36
Botswana,11/12/1960,308899.5
Kiribati,13/08/1981,3816416.94
Fiji,17/05/1986,62734.92
Morocco,08/03/1978,725006.36
Cote d'Ivoire,29/08/1961,1066143.1
Cyprus,23/10/1951,194517.4
Qatar,15/11/1997,1553240.7
Costa Rica,21/08/1959,37161.39
Sierra Leone,12/03/1977,307041.58
Ukraine,07/05/1982,186431.05
Croatia,12/08/1983,435211.4
Federated States of Micronesia,20/08/1998,2331216.96
Spain,23/06/1997,246098.56
East Timor,25/10/1960,736060.38
Dominican Republic,25/03/1968,3015805.6
Eritrea,14/07/1992,3652095.55
China,20/06/1998,104124.02
Nauru,24/10/1954,138743.8
Romania,06/12/1955,286787.8
Germany,07/02/1969,5543299.65
Rwanda,21/05/1969,899114.7
Brunei,12/01/1992,253748.32
Finland,30/01/1974,810028.8
Libya,22/07/1962,748991.52
Ireland,04/04/1971,4463393.34
Sweden,03/04/1994,79575.57
Nicaragua,21/03/1985,2511699.92
Cape Verde,01/01/1971,965555.8
China,30/11/1970,191603.1
Niger,10/09/1985,563351.61
Equatorial Guinea,29/03/1993,3418201.05
Pakistan,22/05/1970,2269183.92
Jordan,27/06/1976,823976.91
Luxembourg,14/12/1957,265377.31
Kyrgyzstan,19/05/1995,466589.64
Lebanon,02/01/1982,211882.4
Armenia,07/12/1965,178127.3
Saint Lucia,16/04/1980,9824.49
Cambodia,09/06/1988,734180.59
Indonesia,10/04/1992,898169.8
Chad,11/11/1975,1764240.08
Fiji,06/04/1967,1460953.5
Brunei,28/04/1953,76524.66
Turkmenistan,12/02/1969,4023114.4
Sierra Leone,01/06/1971,1536275.04
Cameroon,01/03/1978,337136.25
Netherlands,30/11/1982,285933.7
Tanzania,04/08/1951,954845.64
Iran,09/10/2000,2792833.6
Bulgaria,24/09/1975,10024.05
Cote d'Ivoire,05/04/1969,368639.05
Djibouti,11/12/1983,1504295.1
Indonesia,18/04/1974,508396.56
Morocco,07/04/1971,394085.48
United Arab Emirates,10/10/1953,5692877.82
South Korea,05/06/1951,24929.76
Rwanda,07/07/1965,552170.64
Malawi,04/03/1956,772172.48
Portugal,07/03/1987,2846161.93
United Arab Emirates,18/09/1979,1728962.55
India,12/05/1984,1685505.8
San Marino,02/09/1964,82589.16
Democratic Republic of the Congo,02/06/1992,1469650.56
The Gambia,16/07/2000,70646.76
Samoa ,08/11/1958,2945853.6
Saint Vincent and the Grenadines,28/12/1999,824043.84
Portugal,08/11/1995,76072.8
New Zealand,07/09/1991,129823.2
Philippines,19/07/1991,253853.38
Cote d'Ivoire,17/05/1968,2408097.6
Malaysia,03/09/1966,56797.65
United Arab Emirates,08/05/1988,2310877.66
Mali,27/05/1958,1101554.79
Sri Lanka,07/01/1990,206111.4
Samoa ,26/07/1973,74761.29
Maldives,05/01/1992,3376768.31
Sweden,16/01/1983,116426.2
Morocco,15/08/1954,766714.5
Barbados,04/02/1961,3864280.14
Mauritania,15/08/1998,26413.23
Dominican Republic,24/07/1975,1525660.41
Monaco,13/11/1960,1929295.49
Turkey,26/09/1980,183774.25
South Africa,17/11/1995,888500.34
Serbia,05/12/1964,473734.5
Iraq,07/11/1996,469897.35
Norway,29/04/1985,2774471.2
Angola,08/08/1959,895112.48
Cuba,15/04/1992,5375087.34
Sierra Leone,16/05/1951,924885.68
Antigua and Barbuda ,17/02/1994,1946127.7
Dominican Republic,19/10/1951,1315657.2
Belarus,27/09/1982,644252.4
Swaziland,25/12/1985,1155082.4
Samoa ,31/08/1991,538968.96
Kyrgyzstan,10/11/1965,310652.88
India,29/12/1970,1275373.47
Trinidad and Tobago,09/08/1962,6009083.84
Tajikistan,30/06/1957,1243418.26
San Marino,28/04/1973,184935.6
Israel,08/05/1954,826851.92
Cuba,05/05/1986,3739899.03
Latvia,02/11/1964,862088.7
Turkey,27/04/1965,1058084.08
Iran,23/03/1989,993573.76
Kyrgyzstan,18/01/1985,671085.03
Lebanon,01/08/1961,3762106
Liberia,08/02/1972,2820334.65
Liechtenstein,07/12/1971,279670.3
Sweden,25/06/1960,262826.36
Nauru,08/04/1984,723870.72
Spain,27/03/1985,1323882.08
Andorra,21/08/1971,1366964.22
Cyprus,01/06/1960,393386.48
North Korea,11/09/1965,33233.46
Guinea-Bissau,02/03/1984,364605.8
Lebanon,29/11/1990,2404435.46
Zimbabwe,09/02/1969,331009.12
Uganda,09/05/1983,3161585.37
Japan,29/10/1969,4004157.99
Dominica,28/02/1997,418866.25
Cape Verde,24/10/1981,226276.14
Zimbabwe,29/01/1981,838702.64
Burundi,29/03/1998,1511002.32
Namibia,24/02/1983,1350485.58
Kyrgyzstan,11/06/1996,341088.84
Slovenia,27/11/1996,426952.68
Thailand,04/10/1983,1524992.14
Finland,10/03/1966,60144.3
Moldova ,05/03/1992,358192.72
North Korea,15/05/1966,62968.17
Ghana,05/03/1993,2600238.57
Greenland,28/10/1954,38747.49
Kuwait,29/04/1968,83512
Solomon Islands,18/04/1969,2033815.76
Brunei,23/03/1954,56530.47
Mali,31/01/1984,969493.32
Guinea,06/02/1958,184872
Cape Verde,12/07/1955,1090395.84
Albania,31/05/1952,335011.27
Belize,12/02/1987,1339213.08
Barbados,22/10/1983,1822249.6
Guatemala,29/05/1977,384107.75
Federated States of Micronesia,31/07/1985,848040.16
Qatar,01/05/1961,978953.28
Samoa ,01/05/1971,3993581.52
Sri Lanka,14/12/1969,623681.63
Netherlands,29/06/2000,739084.39
Israel,02/08/1998,535909.12
Luxembourg,30/08/1954,91910.65
Jamaica,19/02/1986,995081.44
Iraq,20/09/1960,537129.56
Sao Tome and Principe,20/06/1963,1172010.42
Austria,11/04/1986,68696.79
Mexico,13/02/1997,1437871.68
United States of America,30/09/1957,11410.59
Nicaragua,11/11/1973,3485275.92
Bangladesh,03/06/1957,1154572.86
Armenia,13/02/1990,2010074.72
New Zealand,08/06/1993,1267634.64
East Timor,17/05/1955,648772.74
Palau,28/01/1978,373004.45
Somalia,08/06/1994,1584778.24
Mauritius ,03/08/1975,1324734.6
Afghanistan,31/03/1957,54571.17
Costa Rica,22/04/1992,388927.52
Namibia,22/09/1953,1686713.48
Greenland,30/08/1960,434968.59
Chad,06/09/1992,2938383.19
Tunisia ,06/07/1986,4206665.19
Poland,04/04/1957,19900.89
Ukraine,27/08/1968,1861757.04
Bangladesh,29/07/1983,1829701.5
Italy,05/04/1964,371592.72
United Kingdom,13/11/1973,53097.84
Bahrain,03/12/1973,1115394.4
Montenegro,12/11/1980,3110796.85
Latvia,30/03/1978,506072.16
Montenegro,15/01/1965,271123.68
Sudan,30/07/1992,505336.59
Monaco,15/03/1987,4671207.3
Burkina Faso,06/11/1956,4314917.46
Guatemala,22/11/2000,790916.5
Mongolia,08/03/1951,2408566.8
Ireland,19/09/1960,186720.72
Saint Vincent and the Grenadines,12/02/1999,2303902
Monaco,27/12/1960,90995.49
Iran,08/01/1971,352307.22
Cape Verde,15/11/1952,287734.24
Comoros,09/08/1958,5814617.27
Denmark,16/04/1954,849949.02
The Bahamas,28/06/1952,17870.96
Guinea-Bissau,27/06/1996,61270.11
Yemen,09/07/1951,408389.52
Central African Republic,11/08/1979,527076.77
Saint Kitts and Nevis ,17/09/1983,5460434.17
Indonesia,13/03/1980,1712658.2
Cote d'Ivoire,08/03/1956,173636.04
Federated States of Micronesia,14/01/1987,73352.46
Mozambique,08/10/1967,366968.8
South Africa,16/12/1980,496381.32
Slovenia,12/12/1957,690119.34
Serbia,16/12/1953,2138560.41
Vatican City,01/09/1982,685076.32
Central African Republic,27/12/1998,1011712.02
Samoa ,04/05/1967,703326.08
Chad,19/06/1976,276329.13
Vietnam,15/08/1980,329208.1
Australia,10/04/1956,566170.5
Cuba,20/08/1961,334150.2
India,20/01/1954,5421006.24
Mongolia,08/11/1992,1389088.32
Federated States of Micronesia,29/02/1960,6418976.97
Comoros,25/11/1977,3102371.2
Senegal,11/04/1970,1167650.72
The Gambia,30/01/1996,5398953.33
Iraq,27/01/1971,65151.66
Guinea-Bissau,17/02/1967,1330261.9
Dominican Republic,03/02/1982,383396
Barbados,19/11/1979,6131377.25
China,06/07/1991,33025.2
Iraq,29/06/1999,613825.76
Saint Lucia,15/11/1986,2566418.61
Australia,28/02/1995,1585124.2
Swaziland,29/10/1984,653275.84
Denmark,04/06/1958,6418325.76
Malta,22/06/1986,354498.95
Pakistan,28/11/1978,1847803.1
Iraq,13/02/1990,1058539.68
Saint Kitts and Nevis ,01/07/1958,41975.67
Denmark,09/03/1994,325448.86
South Sudan,13/03/2000,394736.55
Bosnia and Herzegovina,14/06/1978,431496.24
Spain,07/08/1990,396962.61
Guinea,30/10/1952,3706725.54
Belgium,29/03/1964,112230.56
Angola,17/06/1974,3269725.41
Denmark,29/08/1959,2633437.38
Algeria,31/12/1951,1480217.2
Swaziland,07/04/1955,368938.44
Botswana,09/03/1955,379857.28
Vatican City,01/12/1965,611310.08
Sudan,28/10/1996,2946725.25
North Korea,15/03/1992,5083996.47
Cote d'Ivoire,16/07/1968,166359.7
Sweden,22/05/1973,31227.51
Hungary,30/03/1965,664859.52
Kuwait,26/03/1982,1673348.08
Somalia,13/09/1974,3955.92
Benin,08/11/1996,6310876.11
Cambodia,03/05/1982,1107383.28
Cote d'Ivoire,13/09/1966,278153.34
Honduras,20/10/1952,452720.45
Macedonia,09/07/1951,1709984.1
Qatar,08/07/1999,484826.82
North Korea,12/08/1975,470427.2
Yemen,14/01/1960,1269169
Bahrain,07/09/1973,369909.98
Luxembourg,04/03/1986,1907661.8
Belize,15/05/1971,850786.08
Dominican Republic,08/02/1973,1156856.8
Croatia,08/12/1956,929474.48
Solomon Islands,04/10/1966,590082.41
Central African Republic,17/02/1979,162102.8
Vanuatu,16/01/1986,661325.5
Andorra,14/07/1951,79359.83
Czech Republic,10/12/1955,505933.04
Nigeria,01/10/1956,399513.2
Tanzania,28/07/1965,39708.48
Norway,20/09/1975,149565.9
Sierra Leone,13/11/1954,1166968.32
Liechtenstein,24/12/1983,939175.12
Burundi,22/11/1989,192599.55
Syria,02/03/1984,668041.6
Bhutan,10/09/1970,81566.55
Lesotho,27/02/1998,21365.7
Guinea-Bissau,24/12/1980,74042.88
Laos,07/11/1972,439707.4
Algeria,23/12/1995,78148.08
Latvia,02/02/1994,128636.95
Belize,03/05/1999,782103.21
Czech Republic,24/09/1988,1788972.9
Chad,05/02/1987,578403.21
Saint Vincent and the Grenadines,12/03/1971,2351.16
Serbia,16/07/1958,6125362.82
Malta,22/04/1982,1036170.78
Maldives,13/07/1976,644458.1
Marshall Islands,30/09/1979,96190.92
Zimbabwe,02/02/1997,3122919.6
Ghana,27/11/1963,1270273.28
Benin,18/02/1964,474310.24
Cameroon,05/06/1988,1213011
Albania,17/08/1996,68402.64
The Gambia,03/12/1951,2186217.92
Tanzania,02/04/1993,700017.45
Austria,17/12/1982,5686365.72
New Zealand,27/06/1979,1916247.6
Mauritania,26/05/1989,437446.86
Afghanistan,07/01/1992,2186217.92
Afghanistan,27/01/1999,644441.05
Italy,07/11/1955,202706.4
Estonia,21/11/1991,487950.84
Sao Tome and Principe,17/03/1989,3024951.3
Burkina Faso,15/09/1952,304604.58
New Zealand,16/05/1981,257273.9
Cote d'Ivoire,09/11/1986,45437.1
Latvia,08/09/1984,90445.02
Armenia,09/04/1951,1664492.76
Mongolia,08/10/1996,484980.88
Latvia,15/12/1977,29800.02
Kuwait,08/10/1984,118426.77
Greece,06/03/1994,3669599.22
Bahrain,14/04/1957,425205.6
Ethiopia,02/04/1987,889140.24
Angola,23/01/1976,633162.31
Estonia,23/02/1978,1139314.64
Guatemala,02/12/1997,4185315.6
Jordan,19/08/1995,114853.28
Jordan,27/01/1998,318828.73
Grenada,21/11/1964,2256389.2
Mozambique,03/09/1987,1830112.9
Turkmenistan,10/07/1951,184316.64
Jordan,23/03/1992,570878.72
Belize,05/03/1988,2669543.2
Morocco,21/10/1999,931446.76
Papua New Guinea,04/12/1992,86479.77
Malaysia,25/09/1952,65571.24
Saint Kitts and Nevis ,04/07/1987,1141092
Israel,18/01/1968,1616688.24
Tajikistan,15/07/1951,354258.24
Saudi Arabia,16/10/1979,3011846.25
Oman,17/11/1990,4212993.54
Afghanistan,09/05/1990,3300983.49
Tonga,26/10/1998,146817.72
Nepal,27/11/1956,2167226.88
Democratic Republic of the Congo,16/09/1966,546142.7
Sweden,06/01/1975,826921.76
Samoa ,24/01/1974,2667733.84
North Korea,02/02/1957,5502724.5
United States of America,09/09/1991,408164.9
Angola,03/11/1994,85276.2
Slovakia,10/01/1955,2968150.8
Switzerland,18/09/1994,3543167.54
Philippines,23/08/1962,304115.07
China,04/03/1971,1049275.7
Kiribati,29/01/1952,37795.83
South Sudan,25/04/1971,5990480.79
Liberia,18/06/1988,916187.8
Bangladesh,24/01/1951,62114.8
Cote d'Ivoire,09/12/1975,224418.7
Belize,27/12/1998,258649.95
India,15/05/1998,1208487.5
Bangladesh,01/04/1991,218647.14
United Arab Emirates,12/02/1951,491460.18
Samoa ,26/05/1991,87431.43
Morocco,08/07/1999,4699.04
Malta,22/05/1996,499851
